"Start Time","End Time","Text","Layer ID"
"00:00:00:04","00:00:04:04","Hey umm,You are in my creation.","1"
"00:00:04:14","00:00:09:24","I'm going to sound conceited,but I'll say that.","1"
"00:00:09:24","00:00:13:01","this is a WebXR experiencethat I coded and","1"
"00:00:13:01","00:00:14:23","you are in.","1"
"00:00:14:23","00:00:17:23","It's mainly a test.","1"
"00:00:18:05","00:00:20:18","More of of what you can do with experience","1"
"00:00:20:18","00:00:23:18","than a test of you.","1"
"00:00:24:15","00:00:26:20","It's a test of an experience.","1"
"00:00:26:20","00:00:29:11","Right now,you should be watching me on a TV.","1"
"00:00:29:11","00:00:32:11","Which means that I am now,","1"
"00:00:32:18","00:00:35:06","successfully and included","1"
"00:00:35:06","00:00:38:06","a instructional video “tutorials”.","1"
"00:00:39:01","00:00:42:00","And and sorry if my energy","1"
"00:00:42:00","00:00:45:15","and my I don't I'mnot YouTubey for this right now.","1"
"00:00:45:15","00:00:47:16","I'm just saying if it works.","1"
"00:00:47:16","00:00:50:20","So it's not above and beyond,and I'm now getting long winded.","1"
"00:00:51:12","00:00:51:21","All right.","1"
"00:00:51:21","00:00:54:16","The short of it is, is you are in a room.","1"
"00:00:54:16","00:00:56:13","I'm playing on a TV.","1"
"00:00:56:13","00:00:58:23","There is a table in front of you.","1"
"00:00:58:23","00:01:00:16","That table in front of you.","1"
"00:01:00:16","00:01:03:05","I will have level show up.","1"
"00:01:03:05","00:01:07:05","And you are supposedto, you know, do the level,","1"
"00:01:07:12","00:01:12:05","get the guy from point A to point Band see what happens.","1"
"00:01:12:14","00:01:13:23","It's not too fancy.","1"
"00:01:13:23","00:01:16:02","It's kind of fun. And,","1"
"00:01:17:04","00:01:18:02","Hey, it's","1"
"00:01:18:02","00:01:21:02","it's a free experiencethat you experience online.","1"
"00:01:21:21","00:01:25:14","Hopefully you're having fun and,good luck.","1"
"00:01:26:11","00:01:28:08","That's that's how I'm going to end it.","1"
"00:01:28:08","00:01:30:02","Have a good one.","1"
"00:01:32:17","00:01:34:10","Point A to point B and nailed it.","1"
"00:01:34:10","00:01:35:06","All right.","1"
"00:01:35:06","00:01:38:06","Good job. Here I am.","1"
"00:01:38:17","00:01:42:13","It was a triggered responsebecause you you want I probably hopefully","1"
"00:01:42:13","00:01:47:00","I'm triggered as wellwith, like, confetti and fun things","1"
"00:01:47:00","00:01:51:12","that, gets your dopamine up and runningbecause you you get you.","1"
"00:01:51:12","00:01:54:02","Now you're just what'swhat's the next hit?","1"
"00:01:54:02","00:01:55:24","Can I do the next puzzle?","1"
"00:01:55:24","00:01:58:06","All right, here you go. Good luck.","1"
"00:01:58:06","00:02:00:23","That's how we're doing it.","1"
"00:02:00:23","00:02:02:07","I’m reallyselling this!","1"
"00:02:04:05","00:02:05:09","Hey, welcome to the","1"
"00:02:05:09","00:02:07:02","placeholder video of the saying good job.","1"
"00:02:07:02","00:02:11:18","And how you got A to B andand hopefully there's a reward.","1"
"00:02:11:18","00:02:13:21","You're likeit made the experience worth it.","1"
"00:02:13:21","00:02:16:22","You you know graffiti ... confetti.","1"
"00:02:17:02","00:02:18:01","Confetti is what I meant.","1"
"00:02:21:14","00:02:24:14","This is a placeholder video sayingGood Job!","1"
"00:02:27:24","00:02:28:13","Okay.","1"
"00:02:28:13","00:02:31:13","There you go.You got it. Good for you, bud.","1"
"00:02:32:04","00:02:33:24","Or female?","1"
"00:02:33:24","00:02:36:09","Bud is Unisex, I think. Right?","1"
"00:02:36:09","00:02:37:02","Doesn't matter.","1"
"00:02:37:02","00:02:38:01","Like whoever's there.","1"
"00:02:38:01","00:02:41:01","Congratulations to beat the level.","1"
"00:02:41:07","00:02:43:01","All right.","1"
"00:02:43:01","00:02:46:01","This is . . . good job.","1"
"00:02:50:04","00:02:50:20","What do you expect?","1"
"00:02:50:20","00:02:53:05","Yeah. That's","1"
"00:02:53:05","00:02:54:03","same thing.","1"
